"","doi_o","doi_r","apa_ref_r"
"84","10.1038/nature11467","10.1371/journal.pone.0096654","Verkoeijen, P. P. J. L., & Bouwmeester, S. (2014). Does Intuition Cause Cooperation? PLoS ONE, 9(5), e96654. https://doi.org/10.1371/journal.pone.0096654"
"85","10.1038/nature11467","10.1177/1745691617693624","Bouwmeester, S., Verkoeijen, P. P. J. L., Aczel, B., Barbosa, F., Bègue, L., Brañas-Garza, P., Chmura, T. G. H., Cornelissen, G., Døssing, F. S., Espín, A. M., Evans, A. M., Ferreira-Santos, F., Fiedler, S., Flegr, J., Ghaffari, M., Glöckner, A., Goeschl, T., Guo, L., Hauser, O. P., … Wollbrant, C. E. (2017). Registered Replication Report: Rand, Greene, and Nowak (2012). Perspectives on Psychological Science, 12(3), 527–542. https://doi.org/10.1177/1745691617693624"
"86","10.1038/s41598-022-24919-7","10.1038/s41598-024-63724-2","Akselevich, V., & Gilaie-Dotan, S. (2024). Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim. Scientific Reports, 14(1). https://doi.org/10.1038/s41598-024-63724-2"
"87","10.1038/s41598-022-24919-7","10.31234/osf.io/4j8xb","Akselevich, V., & Gilaie-Dotan, S. (2024). Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim. https://doi.org/10.31234/osf.io/4j8xb"
"88","10.1073/pnas.1118373109","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"89","10.1073/pnas.1118373109","10.1038/sdata.2016.120","Balakrishnan, A., Palma, P. A., Patenaude, J., & Campbell, L. (2017). A 4-study replication of the moderating effects of greed on socioeconomic status and unethical behaviour. Scientific Data, 4(1). https://doi.org/10.1038/sdata.2016.120"
"90","10.1073/pnas.1118373109","10.1037/xge0001333","Jung, M. H., Smeets, P., Stoop, J., & Vosgerau, J. (2023). Social status and unethical behavior: Two replications of the field studies in Piff et al. (2012). Journal of Experimental Psychology: General, 152(5), 1368–1378. https://doi.org/10.1037/xge0001333"
"91","10.1080/09515080307771","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/bv6qb/overview"
"92","10.1080/09515080307771","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/c8tew"
"93","10.1093/analys/63.3.190","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"94","10.1093/analys/63.3.190","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/hdz5x"
"95","10.1093/scan/nsw175","10.1111/psyp.12825","klein Selle, N., Verschuere, B., Kindt, M., Meijer, E., & Ben‐Shakhar, G. (2017). Unraveling the roles of orienting and inhibition in the Concealed Information Test. Psychophysiology, 54(4), 628–639. Portico. https://doi.org/10.1111/psyp.12825"
"96","10.1093/scan/nsw175","10.1093/scan/nsz017","Owens, M. M., Hyatt, C. S., Gray, J. C., Carter, N. T., MacKillop, J., Miller, J. D., & Sweet, L. H. (2019). Cortical morphometry of the five-factor model of personality: findings from the Human Connectome Project full sample. Social Cognitive and Affective Neuroscience, 14(4), 381–395. https://doi.org/10.1093/scan/nsz017"
"97","10.1111/j.1467-8624.2007.00995.x","10.1016/j.intell.2020.101471","Li, Y., & Bates, T. C. (2020). Testing the association of growth mindset and grades across a challenging transition: Is growth mindset associated with grades? Intelligence, 81, 101471. https://doi.org/10.1016/j.intell.2020.101471"
"98","10.1111/j.1467-8624.2007.00995.x","10.1080/01973533.2020.1806845","Brez, C., Hampton, E. M., Behrendt, L., Brown, L., & Powers, J. (2020). Failure to Replicate: Testing a Growth Mindset Intervention for College Student Success. Basic and Applied Social Psychology, 42(6), 460–468. https://doi.org/10.1080/01973533.2020.1806845"
"99","10.1111/j.1467-9280.2006.01704.x","10.17605/osf.io/fmd75","Kroworsch, K., Koeth, C., Ponader, S., Koßmann, L., Röseler, L., Bickenbach, S., Krueger, S., Kick, G., Bögler, H. L., &amp; Bühler, R. (2021). <i>Results Report: Replication of Epley and Gilovich (2006, Study 2a)</i>. OSF Registries. https://doi.org/10.17605/OSF.IO/FMD75"
"100","10.1111/j.1467-9280.2006.01704.x","10.18718/81781.38","Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S. M., Bickenbach, S. L. C., Bühler, R., Della Guardia, J., Köppel, L.-M. A., Möhring, J., Ponader, S., Roßmaier, K., &amp; Sing, J. (2024). Need for Cognition, Cognitive Load, and Forewarning do not Moderate Anchoring Effects. A Replication Study of Epley &amp; Gilovich (Journal of Behavioral Decision Making, 2005; Psychological Science, 2006). <i>Journal of Comments and Replications in Economics</i>, 2024–2028. https://doi.org/10.18718/81781.38"
"101","10.1111/j.1467-9280.2006.01704.x","10.31234/osf.io/bgp3m","Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S., Bickenbach, S., Bühler, R., Guardia, J. della, Köppel, L.-M., Ponader, S., Roßmaier, K., Möhring, J., & Sing, J. (2022). Replicating  Epley and Gilovich: Need for Cognition, Cognitive Load, and Forewarning do not Moderate Anchoring Effects. https://doi.org/10.31234/osf.io/bgp3m"
"102","10.1111/j.1467-9280.2007.01909.x","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/lrborchers/450894"
"103","10.1111/j.1467-9280.2007.01909.x","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/ottuba/birch2007_2_rescue_final"
"104","10.1111/j.1467-9280.2007.01944.x","10.1080/15248372.2018.1544140","Kulke, L., & Rakoczy, H. (2018). Testing the Role of Verbal Narration in Implicit Theory of Mind Tasks. Journal of Cognition and Development, 20(1), 1–14. https://doi.org/10.1080/15248372.2018.1544140"
"105","10.1111/j.1467-9280.2007.01944.x","10.1177/0956797617747090","Kulke, L., von Duhn, B., Schneider, D., & Rakoczy, H. (2018). Is Implicit Theory of Mind a Real and Robust Phenomenon? Results From a Systematic Replication Study. Psychological Science, 29(6), 888–900. https://doi.org/10.1177/0956797617747090"
"106","10.1111/j.1467-9280.2007.01944.x","10.1098/rsos.210190","Kampis, D., Kármán, P., Csibra, G., Southgate, V., & Hernik, M. (2021). A two-lab direct replication attempt of Southgate, Senju and Csibra (2007). Royal Society Open Science, 8(8), 210190. https://doi.org/10.1098/rsos.210190"
"107","10.1111/j.1467-9280.2008.02039.x","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"108","10.1111/j.1467-9280.2008.02039.x","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/q7f6w"
"109","10.1111/j.1467-9280.2008.02040.x","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://github.com/vboyce/251-254-MA/blob/main/reports/lau2008.pdf"
"110","10.1111/j.1467-9280.2008.02040.x","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/fxqsk"
"111","10.1111/j.1467-9280.2008.02045.x","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"112","10.1111/j.1467-9280.2008.02045.x","10.1177/2515245920917931","Buttrick, N. R., Aczel, B., Aeschbach, L. F., Bakos, B. E., Brühlmann, F., Claypool, H. M., Hüffmeier, J., Kovacs, M., Schuepfer, K., Szecsi, P., Szuts, A., Szöke, O., Thomae, M., Torka, A.-K., Walker, R. J., & Wood, M. J. (2020). Many Labs 5: Registered Replication of Vohs and Schooler (2008), Experiment 1. Advances in Methods and Practices in Psychological Science, 3(3), 429–438. https://doi.org/10.1177/2515245920917931"
"113","10.1111/j.1467-9280.2008.02045.x","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/i29mh"
"114","10.1111/j.1467-9280.2008.02072.x","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"115","10.1111/j.1467-9280.2008.02072.x","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/b98zw"
"116","10.1111/j.1467-9280.2008.02081.x","10.1177/2515245920958687","Ebersole, C. R., Mathur, M. B., Baranski, E., Bart-Plange, D.-J., Buttrick, N. R., Chartier, C. R., Corker, K. S., Corley, M., Hartshorne, J. K., IJzerman, H., Lazarević, L. B., Rabagliati, H., Ropovik, I., Aczel, B., Aeschbach, L. F., Andrighetto, L., Arnal, J. D., Arrow, H., Babincak, P., … Nosek, B. A. (2020). Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability. Advances in Methods and Practices in Psychological Science, 3(3), 309–331. https://doi.org/10.1177/2515245920958687"
"117","10.1111/j.1467-9280.2008.02081.x","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/sd7kg"
"118","10.1111/j.1467-9280.2008.02084.x","10.1126/science.aac4716","Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/vnsqg"
"119","10.1111/j.1467-9280.2008.02084.x","10.1371/journal.pone.0042510","Pashler, H., Coburn, N., & Harris, C. R. (2012). Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments. PLoS ONE, 7(8), e42510. https://doi.org/10.1371/journal.pone.0042510"
"120","10.1111/j.1467-9280.2008.02227.x","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"121","10.1111/j.1467-9280.2008.02227.x","10.3389/fpsyg.2014.01276","Huang, J. L. (2014). Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments. Frontiers in Psychology, 5. https://doi.org/10.3389/fpsyg.2014.01276"
"122","10.1111/j.1467-9280.2008.02227.x",NA,"Lee, F. (2013). Replication of “With a clean conscience: Cleanliness reduces the severity of moral judgments” by Schnall, Benton, and Harvey (2008, Psychological Science) [Unpublished manuscript]."
"123","10.1111/j.1467-9280.2008.02227.x","10.17605/osf.io/gea2s","Chaves, J., Fat, J. K., Leukel, P. J., Jordan, A., Koenig, B., &amp; Sharp, M. (2018). <i>Influence of Cleanliness on Moral Judgements: A Direct Replication of Schnall, Benton, and Harvey (2008)</i>. OSF Registries. https://doi.org/10.17605/OSF.IO/GEA2S"
"124","10.1111/j.1467-9280.2008.02227.x",NA,"Besman, M., Dubensky, C., Dunsmore, L., & Daubman, K. (2013). Cleanliness primes less severe moral judgments. Retrieved from: https://web.archive.org/web/20191117063540/http://www.psychfiledrawer.org/replication.php?attempt=MTQ5"
"125","10.1111/j.1467-9280.2008.02227.x",NA,"Arbesfeld, J., Collins, T., Baldwin, D., & Daubman, K. (2014). Clean thoughts lead to less severe moral judgment [Replication of Schnall, Benton, & Harvey, 2008]. PsychFileDrawer.org. Retrieved from https://web.archive.org/web/20191201181415/http://psychfiledrawer.org/replication.php?attempt=MTc3"
"126","10.1111/j.1467-9280.2008.02227.x","10.1027/1864-9335/a000186","Johnson, D. J., Cheung, F., & Donnellan, M. B. (2014). Does Cleanliness Influence Moral Judgments? Social Psychology, 45(3), 209–215. https://doi.org/10.1027/1864-9335/a000186"
"127","10.1111/j.1467-9280.2009.02426.x","10.2139/ssrn.2586261","Djordjevic, S., & IJzerman, H. (2015). Weight as an Embodiment of Importance: Replication and Extensions. SSRN Electronic Journal. https://doi.org/10.2139/ssrn.2586261"
"128","10.1111/j.1467-9280.2009.02426.x","10.1016/j.jesp.2015.10.012","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J. M., Banks, J. B., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J. G., … Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal of Experimental Social Psychology, 67, 68–82. https://doi.org/10.1016/j.jesp.2015.10.012 Individual report available at https://osf.io/ct89g/"
"129","10.1111/j.1467-9280.2009.02447.x","10.1037/xhp0000331","Collier, E. S., & Lawson, R. (2017). It’s out of my hands! Grasping capacity may not influence perceived object size. Journal of Experimental Psychology: Human Perception and Performance, 43(4), 749–769. https://doi.org/10.1037/xhp0000331"
"130","10.1111/j.1467-9280.2009.02447.x",NA,"Brady, T. F., Williams, J. R., Kline Struhl, M., Loomas, Z., Miske, O., & Fox, N. W. (2026, February 11). SCORE new data replication of Linkenauger et al. (2009). Retrieved from osf.io/md84s"
"131","10.1111/j.1468-0068.2010.00795.x","10.17605/osf.io/39xuw","Hernández-Conde, J. V., &amp; Wilkenfeld, D. A. (2017). <i>Schaffer and Knobe Replication</i>. OSF Registries. https://doi.org/10.17605/OSF.IO/39XUW"
"132","10.1111/j.1468-0068.2010.00795.x","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/ts9bu"
"133","10.1111/j.1468-0068.2010.00795.x","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/z4e45/files/k2cna"
"134","10.1111/j.1551-6709.2011.01210.x","10.1007/s13164-018-0400-9","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., Beebe, J., Berniūnas, R., Boudesseul, J., Colombo, M., Cushman, F., Diaz, R., N’Djaye Nikolai van Dongen, N., Dranseika, V., Earp, B. D., Torres, A. G., Hannikainen, I., Hernández-Conde, J. V., Hu, W., … Zhou, X. (2018). Estimating the Reproducibility of Experimental Philosophy. Review of Philosophy and Psychology, 12(1), 9–44. https://doi.org/10.1007/s13164-018-0400-9 Individual report available at https://osf.io/ejmyw"
"135","10.1111/j.1551-6709.2011.01210.x","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rstudio-pubs-static.s3.amazonaws.com/1178341_5e2ac8c976274f5fb6532dee0d9982c6.html"
"136","10.1126/science.1130726","10.1080/01973533.2013.856792","Earp, B. D., Everett, J. A. C., Madva, E. N., & Hamlin, J. K. (2014). Out, Damned Spot: Can the “Macbeth Effect” Be Replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792"
"137","10.1126/science.1130726","10.1177/2167702613485565","Reuven, O., Liberman, N., & Dar, R. (2013). The Effect of Physical Cleaning on Threatened Morality in Individuals With Obsessive-Compulsive Disorder. Clinical Psychological Science, 2(2), 224–229. https://doi.org/10.1177/2167702613485565"
"138","10.1126/science.1130726","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"139","10.1126/science.1130726","10.5209/rev_sjop.2011.v14.n1.13","Gámez, E., Díaz, J. M., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13"
"140","10.1126/science.1130726",NA,"Fayard, J. V., Bassi, A. K., Bernstein, D. M., & Roberts, B. W. (2009). Is cleanliness next to godliness? Dispelling old wives' tales: Failure to replicate Zhong and Liljenquist (2006). Journal of Articles in Support of the Null Hypothesis, 6(2)."
"141","10.1126/science.1215647","10.1371/journal.pone.0172636","Sanchez, C., Sundermeier, B., Gray, K., & Calin-Jageman, R. J. (2017). Direct replication of Gervais &amp; Norenzayan (2012): No evidence that analytic thinking decreases religious belief. PLOS ONE, 12(2), e0172636. https://doi.org/10.1371/journal.pone.0172636"
"142","10.1126/science.1215647","10.1038/s41562-018-0399-z","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Nave, G., Nosek, B. A., Pfeiffer, T., Altmejd, A., Buttrick, N., Chan, T., Chen, Y., Forsell, E., Gampa, A., Heikensten, E., Hummer, L., Imai, T., … Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature Human Behaviour, 2(9), 637–644. https://doi.org/10.1038/s41562-018-0399-z Individual report available at https://osf.io/r4dve"
"143","10.1126/science.1215647","10.1371/journal.pone.0138922","Finley, A. J., Tang, D., & Schmeichel, B. J. (2015). Revisiting the Relationship between Individual Differences in Analytic Thinking and Religious Belief: Evidence That Measurement Order Moderates Their Inverse Correlation. PLOS ONE, 10(9), e0138922. https://doi.org/10.1371/journal.pone.0138922"
"144","10.1126/science.1222426","10.1016/j.joep.2018.12.001","Shah, A. K., Mullainathan, S., & Shafir, E. (2019). An exercise in self-replication: Replicating Shah, Mullainathan, and Shafir (2012). Journal of Economic Psychology, 75, 102127. https://doi.org/10.1016/j.joep.2018.12.001"
"145","10.1126/science.1222426","10.1038/s41562-018-0399-z","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Nave, G., Nosek, B. A., Pfeiffer, T., Altmejd, A., Buttrick, N., Chan, T., Chen, Y., Forsell, E., Gampa, A., Heikensten, E., Hummer, L., Imai, T., … Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature Human Behaviour, 2(9), 637–644. https://doi.org/10.1038/s41562-018-0399-z Individual report available at https://osf.io/5uw3j"
"146","10.1126/science.1224313","10.1038/s41562-018-0399-z","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Nave, G., Nosek, B. A., Pfeiffer, T., Altmejd, A., Buttrick, N., Chan, T., Chen, Y., Forsell, E., Gampa, A., Heikensten, E., Hummer, L., Imai, T., … Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature Human Behaviour, 2(9), 637–644. https://doi.org/10.1038/s41562-018-0399-z Individual report available at https://osf.io/367yu"
"147","10.1126/science.1224313","10.1037/emo0001621","Pillaud, N., Chassaing-Monjou, C., & Cottin, A. (2026). I react to bodies but not faces, a replication and extension of Aviezer et al. (2012). Emotion. https://doi.org/10.1037/emo0001621"
"148","10.1126/science.1238041","10.1073/pnas.2103313118","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44). https://doi.org/10.1073/pnas.2103313118"
"149","10.1126/science.1238041","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240 Individual report available at https://rpubs.com/greyes96/psych251project"
"150","10.1126/science.1239918","10.1037/pspa0000064","Panero, M. E., Weisberg, D. S., Black, J., Goldstein, T. R., Barnes, J. L., Brownell, H., & Winner, E. (2016). Does reading a single passage of literary fiction really improve theory of mind? An attempt at replication. Journal of Personality and Social Psychology, 111(5), e46–e54. https://doi.org/10.1037/pspa0000064"
"151","10.1126/science.1239918","10.1038/s41562-018-0399-z","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Nave, G., Nosek, B. A., Pfeiffer, T., Altmejd, A., Buttrick, N., Chan, T., Chen, Y., Forsell, E., Gampa, A., Heikensten, E., Hummer, L., Imai, T., … Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature Human Behaviour, 2(9), 637–644. https://doi.org/10.1038/s41562-018-0399-z Individual report available at https://osf.io/s73x6"
"152","10.1126/science.1239918",NA,"Dijkstra, K., Verkoeijen, P., van Kuijk, I., Yee Chow, S., Bakker, A., & Zwaan, R. (2015). Leidt het lezen van literaire fictie tot meer empathie? : een replicatiestudie van Kidd en Castano (2013). De Psycholoog, 50(10), 10–21. Retrieved from http://hdl.handle.net/1765/98670"
"153","10.1126/science.1239918","10.1177/1948550618775410","Kidd, D., & Castano, E. (2018). Reading Literary Fiction and Theory of Mind: Three Preregistered Replications and Extensions of Kidd and Castano (2013). Social Psychological and Personality Science, 10(4), 522–531. https://doi.org/10.1177/1948550618775410"
"154","10.1126/science.1239918","10.1080/02699931.2017.1279591","Samur, D., Tops, M., & Koole, S. L. (2017). Does a single session of reading literary fiction prime enhanced mentalising performance? Four replication experiments of Kidd and Castano (2013). Cognition and Emotion, 32(1), 130–144. https://doi.org/10.1080/02699931.2017.1279591"
"155","10.1126/science.1239918","10.1525/collabra.117","van Kuijk, I., Verkoeijen, P., Dijkstra, K., & Zwaan, R. A. (2018). The Effect of Reading a Short Passage of Literary Fiction on Theory of Mind: A Replication of Kidd and Castano (2013). Collabra: Psychology, 4(1). https://doi.org/10.1525/collabra.117"
"156","10.1126/science.1250830","10.1098/rsos.231240","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240"
"157","10.1126/science.1250830","10.1038/s41562-018-0399-z","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T.-H., Huber, J., Johannesson, M., Kirchler, M., Nave, G., Nosek, B. A., Pfeiffer, T., Altmejd, A., Buttrick, N., Chan, T., Chen, Y., Forsell, E., Gampa, A., Heikensten, E., Hummer, L., Imai, T., … Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature Human Behaviour, 2(9), 637–644. https://doi.org/10.1038/s41562-018-0399-z Individual report available at https://osf.io/qwked"
"158","10.1126/science.7455683","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"159","10.1126/science.7455683","10.1027/1864-9335/a000178","Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B., Brumbaugh, C. C., Cemalcilar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., … Nosek, B. A. (2014). Investigating Variation in Replicability. Social Psychology, 45(3), 142–152. https://doi.org/10.1027/1864-9335/a000178 Individual report available at https://osf.io/y36m8"
